Resource,Region,Start Date,End Date,Days,Currency,Quantity,Osr Eligible Cost,Cost,Month-31,Year
frxfz3gch4zb/cjvbucket,eu-frankfurt-1,09/17/2025,09/17/2025,1,ILS,  0.0000,  0.0000,  0.0000,        0,        0
frxfz3gch4zb/oci-logs._flowlogs.ocid1.compartment.oc1..aaaaaaaaksnockf762afdwb4x6n7l7tt7gc2us6oml7sc43vqjwfgb7jf6qq,eu-frankfurt-1,09/17/2025,09/17/2025,1,ILS,  0.0000,  0.0000,  0.0000,        0,        0
frxfz3gch4zb/oci-logs._flowlogs.ocid1.compartment.oc1..aaaaaaaaqfp4wr4sxdrxrainq35gaqxct4qqmj4fcknimwuhfyay4geer2gq,eu-frankfurt-1,09/17/2025,09/17/2025,1,ILS,  0.0000,  0.0000,  0.0000,        0,        0
frxfz3gch4zb/oci-logs._flowlogs.ocid1.compartment.oc1..aaaaaaaagy3yddkkampnhj3cqm5ar7w2p7tuq5twbojyycvol6wugfav3ckq,eu-frankfurt-1,09/17/2025,09/17/2025,1,ILS,  0.0000,  0.0000,  0.0000,        0,        0
frxfz3gch4zb/bayer_test,eu-frankfurt-1,09/17/2025,09/17/2025,1,ILS,  0.0000,  0.0000,  0.0000,        0,        0
frxfz3gch4zb/oci-logs._flowlogs.ocid1.compartment.oc1..aaaaaaaaizgicqzl4lhonskwg67wrzfdwtc25fqzgnrpzumcasa3jj467pba,eu-frankfurt-1,09/17/2025,09/17/2025,1,ILS,  0.0000,  0.0000,  0.0000,        0,        0
frxfz3gch4zb/oci-logs._flowlogs.ocid1.compartment.oc1..aaaaaaaabryb3k2spftcecn7an5xxo5w64fy7yevqxtrvyn75qvnl5353elq,eu-frankfurt-1,09/17/2025,09/17/2025,1,ILS,  0.0000,  0.0000,  0.0000,        0,        0
frxfz3gch4zb/oci-logs._apigateway.ocid1.compartment.oc1..aaaaaaaabyaimtv5kwavymwg74hnlndsadx42666bpic64s7wxi46v72npuq,eu-frankfurt-1,09/17/2025,09/17/2025,1,ILS,  0.0000,  0.0000,  0.0000,        0,        0
fr8lgxeipykz/oci-logs._flowlogs.ocid1.compartment.oc1..aaaaaaaafyoaxhmhrcqnfra2h6j4ntflqromanxgar4l2eghixe3gsetujaa,eu-frankfurt-1,09/17/2025,09/17/2025,1,ILS,  0.0000,  0.0000,  0.0000,        0,        0
fr3elochwkkt/JitGroupMapping,eu-frankfurt-1,09/17/2025,09/17/2025,1,ILS,  0.0000,  0.0000,  0.0000,        0,        0
